id,title,description_snippet,source_name,published_at,query_player,primary_label,secondary_labels,confidence_score,confidence_note,detected_players,is_lotte_related,event_summary,key_players,lotte_stance,player_stance,game_ref,game_context
1,"고리원자력본부-롯데자이언츠, 지역상생 '사회공헌 협약' 체결",한국수력원자력 고리원자력본부가 부산 연고의 프로야구단 롯데자이언츠와 손잡고 지역사회를 위한 사회공헌 활동에 나섭니다. 고리원자력본부는 어제(29일) 오후 부산 동래구 사직야구장에서 롯데자이언츠와 '지역...,news.bbsi.co.kr,2026-04-30T12:40:00,,CLUB_OPERATION,,0.9,,,True,롯데자이언츠가 고리원자력본부와 사회공헌 협약을 체결했습니다.,,positive,,False,"롯데 vs 키움 (홈) 5-6 패 | 결승타: 오선진(11회) | 홈런: 안치홍2호, 임병욱1호, 박승욱1호 | 타자 키플레이어: 박승욱(롯데), 장두성(롯데), 레이예스(롯데) | 투수 키플레이어: 박진형(키움), 정철원(롯데), 유토(키움)"
2,모두가 자신의 마무리투수 문제와 싸우고 있다...지금 KBO리그는 '모자무...,"롯데 자이언츠 김원중도 마무리에서 내려왔다. 통산 164세이브, 구단 역사상 최초 개인 100세이브를 쌓은 롯데의 상징이지만, 오프시즌 교통사고 후유증으로 몸 만들기가 늦어졌다. 개막전 9회를 끝내지 못하고 내려온...",www.spochoo.com,2026-04-30T12:32:00,,PERFORMANCE_ANALYSIS,INJURY_ROSTER,0.9,,,True,김원중이 마무리투수에서 내려오며 롯데의 고민이 깊어졌습니다.,김원중,negative,,True,"롯데 vs 키움 (홈) 5-6 패 | 결승타: 오선진(11회) | 홈런: 안치홍2호, 임병욱1호, 박승욱1호 | 타자 키플레이어: 박승욱(롯데), 장두성(롯데), 레이예스(롯데) | 투수 키플레이어: 박진형(키움), 정철원(롯데), 유토(키움)"
3,[IS 피플] 다이렉트 홈 보살에 데뷔 첫 3안타까지…통통 튀는 '호랑이 리...,"지난 26일 광주 롯데 자이언츠전에서 데뷔 첫 1군 홈런을 때려낸 뒤 맞이한 창원 원정에서 공수 고른 활약으로 눈도장을 찍었다. 이범호 감독은 지난 28일 경기에 앞서 ""아무래도 (박재현이) 1번에서 활발하게 움직여...",isplus.com,2026-04-30T12:30:00,,MATCH_RELATED,PERFORMANCE_ANALYSIS,0.9,,,True,롯데가 키움과의 경기에서 아쉽게 패배했습니다.,박승욱,negative,,True,"롯데 vs 키움 (홈) 5-6 패 | 결승타: 오선진(11회) | 홈런: 안치홍2호, 임병욱1호, 박승욱1호 | 타자 키플레이어: 박승욱(롯데), 장두성(롯데), 레이예스(롯데) | 투수 키플레이어: 박진형(키움), 정철원(롯데), 유토(키움)"
4,"""제 기록 상관없다, 팀만 이기게 해달라"" 자신을 버리고 '득점권 타율 0...","롯데 자이언츠에서 프로 생활을 시작한 오태곤은 두 번의 트레이드를 통해 KT 위즈로, 다시 SK 와이번스로 이적했다. 2022년 우승을 경험한 오태곤은 시즌 종료 후 4년 최대 18억원에 FA 계약을 맺었다. 올 시즌은 계약 마지막...",www.starnewskorea.com,2026-04-30T12:17:00,,TRANSACTION_CONTRACT,,1.0,,,True,오태곤은 팀 승리를 위해 개인 기록을 포기하겠다고 밝혔습니다.,오태곤,neutral,,True,"롯데 vs 키움 (홈) 5-6 패 | 결승타: 오선진(11회) | 홈런: 안치홍2호, 임병욱1호, 박승욱1호 | 타자 키플레이어: 박승욱(롯데), 장두성(롯데), 레이예스(롯데) | 투수 키플레이어: 박진형(키움), 정철원(롯데), 유토(키움)"
5,"'류현진 이어 2위' 대만 특급, ERA 2.45에도 만족 모른다 ""더 좋아지려고...","시범경기까지 포함하면 왕옌청은 KT 위즈, 롯데 자이언츠를 제외한 나머지 팀들과 최소 한 차례씩 만났다. 그만큼 상대 타자들이 어느 정도 자신의 공을 파악했고 빈틈을 노릴 것이라는 걸 알고 있다. 왕옌청은...",www.xportsnews.com,2026-04-30T12:15:00,,ETC,,0.9,,,True,왕옌청이 롯데를 제외한 팀들과의 경기를 통해 발전을 다짐했습니다.,,neutral,,False,"롯데 vs 키움 (홈) 5-6 패 | 결승타: 오선진(11회) | 홈런: 안치홍2호, 임병욱1호, 박승욱1호 | 타자 키플레이어: 박승욱(롯데), 장두성(롯데), 레이예스(롯데) | 투수 키플레이어: 박진형(키움), 정철원(롯데), 유토(키움)"
6,"원투펀치 등판일인데, 승률이 5할도 안 된다고? '최하위' 롯데의 민낯, ...","그러나 롯데 자이언츠는 외국인 1, 2선발이 나오는 날도 승리가 보장되지 않는다. 선발투수의 탓이라고 보기도 어렵다. 롯데는 29일 부산 사직야구장에서 열린 키움 히어로즈와 2026 신한 SOL Bank KBO 리그 정규시즌...",www.xportsnews.com,2026-04-30T12:13:00,,MATCH_RELATED,PERFORMANCE_ANALYSIS,0.9,,,True,롯데는 외국인 선발 투수의 날에도 승리를 보장받지 못했습니다.,,negative,,True,"롯데 vs 키움 (홈) 5-6 패 | 결승타: 오선진(11회) | 홈런: 안치홍2호, 임병욱1호, 박승욱1호 | 타자 키플레이어: 박승욱(롯데), 장두성(롯데), 레이예스(롯데) | 투수 키플레이어: 박진형(키움), 정철원(롯데), 유토(키움)"
7,"""마차도가 빙의했나. 이런 유격수 얼마만인지 모르겠다""... 롯데 팬 소름...","이는 KBO 리그 10개 구단 모두가 바라는 이상향이자, 특히 롯데 자이언츠 팬들에게는 오랜 기간 닿을 수 없었던 신기루와도 같은 꿈이었다. 매년 유격수 때문에 힘들어했다. 신인드래프트때만 되면 유망한 내야수들은...",www.fnnews.com,2026-04-30T12:01:00,,ETC,,0.9,,,True,롯데 팬들은 유격수의 활약에 큰 기대를 걸고 있습니다.,,positive,,False,"롯데 vs 키움 (홈) 5-6 패 | 결승타: 오선진(11회) | 홈런: 안치홍2호, 임병욱1호, 박승욱1호 | 타자 키플레이어: 박승욱(롯데), 장두성(롯데), 레이예스(롯데) | 투수 키플레이어: 박진형(키움), 정철원(롯데), 유토(키움)"
8,"충북 프로야구 2군 창단 민간 추진위 ""올해 창단 목표""","지난해부터 퓨처스리그 2군 창단을 진행해온 민간 추진위는 ""청주 사직구장을 경기장으로 쓸 수 있고 수요도 많다""며 ""울산처럼 올해 창단을 목표로 활동할 것""이라고 말했습니다. 추진위는 프로야구 레전드인 김재박...",news.mbccb.co.kr,2026-04-30T11:58:00,,ETC,,0.9,,,False,충북에서 프로야구 2군 창단을 목표로 활동하고 있습니다.,,,,False,"롯데 vs 키움 (홈) 5-6 패 | 결승타: 오선진(11회) | 홈런: 안치홍2호, 임병욱1호, 박승욱1호 | 타자 키플레이어: 박승욱(롯데), 장두성(롯데), 레이예스(롯데) | 투수 키플레이어: 박진형(키움), 정철원(롯데), 유토(키움)"
9,"초대박! '215홈런' 거포가 한국에 온다...""KIA와 계약 체결"" 美 저명기자...","카스트로 지난 25일 롯데 자이언츠전에서 수비 도중 왼쪽 햄스트링 부상 1군 엔트리에서 말소됐다. 성적 역시 아쉬웠다. 23경기에서 타율 0.250(88타수 22안타) 2홈런 16타점, OPS 0.700에 그치며 기대에 미치지...",www.sportalkorea.com,2026-04-30T11:50:00,,INJURY_ROSTER,,1.0,,,True,카스트로가 부상으로 1군 엔트리에서 말소됐다.,카스트로,negative,,True,"롯데 vs 키움 (홈) 5-6 패 | 결승타: 오선진(11회) | 홈런: 안치홍2호, 임병욱1호, 박승욱1호 | 타자 키플레이어: 박승욱(롯데), 장두성(롯데), 레이예스(롯데) | 투수 키플레이어: 박진형(키움), 정철원(롯데), 유토(키움)"
10,"""아끼는 선수는 없고, 안 쓰는 선수만 있다""...롯데를 좀먹는 기용법",지금의 롯데 자이언츠는 결과보다 선택이 더 큰 질문을 남기고 있다. 롯데는 29일 부산 사직 야구장에서 열린 2026 신한 SOL KBO리그 정규시즌 키움 히어로즈와의 경기에서 연장 11회 접전 끝에 6-5로 굴복했다. 이 패배로...,www.mhnse.com,2026-04-30T11:45:00,,PERFORMANCE_ANALYSIS,,0.9,,,True,롯데의 기용법에 대한 의문이 커지고 있다.,박승욱,negative,,True,"롯데 vs 키움 (홈) 5-6 패 | 결승타: 오선진(11회) | 홈런: 안치홍2호, 임병욱1호, 박승욱1호 | 타자 키플레이어: 박승욱(롯데), 장두성(롯데), 레이예스(롯데) | 투수 키플레이어: 박진형(키움), 정철원(롯데), 유토(키움)"
11,"사직구장 멈춰 세운 오선진의 한 방! 키움, 끈질긴 롯데 추격 뿌리쳤다","사진=롯데 자이언츠 키움은 9안타 2홈런을 기록했고, 롯데는 12안타로 더 많은 안타를 생산했으나 마지막 득점 기회를 살리지 못했다. 키움은 경기 후반 동점을 허용했지만 연장 승부에서 결승점을 뽑아냈다. 키움은...",www.joongangenews.com,2026-04-30T11:22:00,,MATCH_RELATED,PERFORMANCE_ANALYSIS,0.9,,,True,키움이 연장전에서 롯데를 제압했다.,오선진;박승욱,negative,,True,"롯데 vs 키움 (홈) 5-6 패 | 결승타: 오선진(11회) | 홈런: 안치홍2호, 임병욱1호, 박승욱1호 | 타자 키플레이어: 박승욱(롯데), 장두성(롯데), 레이예스(롯데) | 투수 키플레이어: 박진형(키움), 정철원(롯데), 유토(키움)"
12,[오늘의 일정] 4월 30일 목요일 스포츠 경기,△프로야구= KIA-NC(창원) LG-kt(수원) SSG-한화(대전) 삼성-두산(잠실) 키움-롯데(부산·이상 18시30분) △프로농구= 4강 플레이오프 4차전 KCC-정관장(19시·부산사직체육관) △골프= KPGA 투어 제45회 GS칼텍스 매경오픈...,www.jeonmae.co.kr,2026-04-30T11:22:00,,MATCH_RELATED,,0.9,,,True,오늘 롯데는 키움과 경기를 치른다.,,neutral,,True,"롯데 vs 키움 (홈) 5-6 패 | 결승타: 오선진(11회) | 홈런: 안치홍2호, 임병욱1호, 박승욱1호 | 타자 키플레이어: 박승욱(롯데), 장두성(롯데), 레이예스(롯데) | 투수 키플레이어: 박진형(키움), 정철원(롯데), 유토(키움)"
13,"KIA, 카스트로 대체 선수 찾았다...""마이너 통산 215홈런 로드리게스와...","한편 카스트로는 지난 25일 광주 롯데 자이언츠전 도중 왼쪽 햄스트링 통증을 호소하며 교체됐고, 정밀 검진 결과 부분 손상 진단을 받았다. 시범경기에서 타율 2할3푼5리(34타수 8안타) 5타점 2득점을 기록한...",www.osen.co.kr,2026-04-30T11:21:00,,INJURY_ROSTER,,0.9,,,True,카스트로의 부상으로 KIA가 대체 선수를 찾고 있다.,카스트로,negative,,True,"롯데 vs 키움 (홈) 5-6 패 | 결승타: 오선진(11회) | 홈런: 안치홍2호, 임병욱1호, 박승욱1호 | 타자 키플레이어: 박승욱(롯데), 장두성(롯데), 레이예스(롯데) | 투수 키플레이어: 박진형(키움), 정철원(롯데), 유토(키움)"
14,"롯데칠성, '칠성사이다 제로 유자' 출시","롯데 자이언츠 소속 빅터 레이예스와 유튜버 쯔양이 출연한 '김밥편', '유자편' 두 편을 공개했다. 음식과 함께 즐기는 탄산음료 콘셉트를 통해 'K-소울 드링크' 이미지를 강조했다. 칠성사이다는 기존 제품과 제로...",www.cstimes.com,2026-04-30T11:16:00,,ETC,,1.0,,,False,롯데칠성이 새로운 음료를 출시했다.,레이예스,,,True,"롯데 vs 키움 (홈) 5-6 패 | 결승타: 오선진(11회) | 홈런: 안치홍2호, 임병욱1호, 박승욱1호 | 타자 키플레이어: 박승욱(롯데), 장두성(롯데), 레이예스(롯데) | 투수 키플레이어: 박진형(키움), 정철원(롯데), 유토(키움)"
15,"157km 에이스 내고도 졌다, 2024년 굴욕 되풀이…벌써 희미해지는 롯데의...",롯데 자이언츠가 2024년의 굴욕을 되풀이하게 됐다. 4월 일정 종료시점에서 10승의 고지도 밟지 못했다. 롯데는 29일 부산 사직구장에서 열린 2026 신한은행 SOL Bank KBO리그 키움 히어로즈와 팀 간 시즌 5차전 홈...,www.spotvnews.co.kr,2026-04-30T11:10:00,,PERFORMANCE_ANALYSIS,,0.9,,,True,롯데가 2024년의 굴욕을 반복하고 있다.,,negative,,True,"롯데 vs 키움 (홈) 5-6 패 | 결승타: 오선진(11회) | 홈런: 안치홍2호, 임병욱1호, 박승욱1호 | 타자 키플레이어: 박승욱(롯데), 장두성(롯데), 레이예스(롯데) | 투수 키플레이어: 박진형(키움), 정철원(롯데), 유토(키움)"
16,"KIA, 이 선수 때문에 계속 고민했는데…'1군 복귀→ERA 0.00' 정해영이 달...",마무리에 대한 부담감을 덜어낸 정해영은 25~26일 광주 롯데 자이언츠전에서 연투를 소화했다. 2경기 모두 1이닝을 무실점으로 막으며 자신감을 끌어올렸다. 29일 경기에서도 실점하지 않으면서 4경기 연속 무실점...,www.xportsnews.com,2026-04-30T11:06:00,,INJURY_ROSTER,,1.0,,,True,정해영이 연속 무실점으로 자신감을 얻었다.,정해영,positive,,True,"롯데 vs 키움 (홈) 5-6 패 | 결승타: 오선진(11회) | 홈런: 안치홍2호, 임병욱1호, 박승욱1호 | 타자 키플레이어: 박승욱(롯데), 장두성(롯데), 레이예스(롯데) | 투수 키플레이어: 박진형(키움), 정철원(롯데), 유토(키움)"
17,"롯데칠성음료, '칠성사이다 제로 유자' 출시…라인업 5종으로 확대","롯데칠성음료는 최근 프로야구 롯데 자이언츠의 빅터 레이예스 선수와 유튜버 쯔양이 출연하는 신규 광고를 선보였다. '김밥편', '유자편' 두 편으로 구성된 이번 광고는 칠성사이다의 청량감과 한식과의 어울림을 'K...",www.businesskorea.co.kr,2026-04-30T11:06:00,,ETC,,0.9,,,True,롯데칠성음료가 새로운 광고를 통해 제품 라인업을 확대했다.,빅터 레이예스,positive,,False,"롯데 vs 키움 (홈) 5-6 패 | 결승타: 오선진(11회) | 홈런: 안치홍2호, 임병욱1호, 박승욱1호 | 타자 키플레이어: 박승욱(롯데), 장두성(롯데), 레이예스(롯데) | 투수 키플레이어: 박진형(키움), 정철원(롯데), 유토(키움)"
18,‘친정’ 롯데에 비수 꽂은 ‘5년 만의 승’…박진형 “아직 할 수 있다...,"사진 | 롯데 자이언츠 2015년 처음 KBO리그 데뷔한 박진형은 지난해까지 롯데 유니폼을 입고 뛰었다. 그러나 2025시즌 종료 후 2차 드래프트에 풀렸고, 올해 키움에서 새로운 도전을 하고 있다. 사직구장에서 올린 승에...",www.sportsseoul.com,2026-04-30T10:56:00,,MATCH_RELATED,,0.9,,,True,박진형이 롯데를 상대로 승리를 거두며 여전한 기량을 과시했다.,박진형,negative,,True,"롯데 vs 키움 (홈) 5-6 패 | 결승타: 오선진(11회) | 홈런: 안치홍2호, 임병욱1호, 박승욱1호 | 타자 키플레이어: 박승욱(롯데), 장두성(롯데), 레이예스(롯데) | 투수 키플레이어: 박진형(키움), 정철원(롯데), 유토(키움)"
19,"'2군행' 손아섭 어쩌나, 이 타이틀도 위험해졌다…43세 최형우가 무섭게...",손아섭은 2007년 2차 4라운드 29순위로 롯데 자이언츠의 지명을 받고 데뷔했다. 2022시즌을 앞두고 두 번째 자유계약(FA) 자격을 획득해 NC 다이노스로 이적했다. 지난해 NC에서 마지막 시즌을 맞이했다. 시즌 도중이던...,www.spotvnews.co.kr,2026-04-30T10:55:00,,ETC,,0.9,,,True,손아섭의 2군행 가능성이 커지며 위기감이 감돈다.,,negative,,False,"롯데 vs 키움 (홈) 5-6 패 | 결승타: 오선진(11회) | 홈런: 안치홍2호, 임병욱1호, 박승욱1호 | 타자 키플레이어: 박승욱(롯데), 장두성(롯데), 레이예스(롯데) | 투수 키플레이어: 박진형(키움), 정철원(롯데), 유토(키움)"
20,"장준용 동래구청장 후보, ""교육·문화·스포츠 도시로 도약하겠다""","또 장 후보는 사직야구장 재건축과 연계해 온천·스포츠 인프라를 결합한 '웰니스 복합 도시' 구상도 내놓았다. 그는 ""스포츠 메디컬 센터를 유치하고 동네 온천 힐링센터를 조성해 산업과 관광의 결합으로 새로운 도시...",www.pressian.com,2026-04-30T10:46:00,,ETC,,0.9,,,False,장준용 후보가 스포츠 도시로의 발전 계획을 발표했다.,,,,False,"롯데 vs 키움 (홈) 5-6 패 | 결승타: 오선진(11회) | 홈런: 안치홍2호, 임병욱1호, 박승욱1호 | 타자 키플레이어: 박승욱(롯데), 장두성(롯데), 레이예스(롯데) | 투수 키플레이어: 박진형(키움), 정철원(롯데), 유토(키움)"
21,생후 2개월 딸 앞에서 QS 역투…‘국적 불문’ 아빠는 위대하다 “루시...,"그러나 부담이 컸는지 11일 수원 KT 위즈전(6이닝 5실점 3자책), 17일 잠실 KIA 타이거즈전(7이닝 5실점), 23일 사직 롯데 자이언츠전(4이닝 5실점)에서 연달아 부진하며 3연패에 빠졌다. 이날은 달랐다. 최고 구속 147km 직구...",www.osen.co.kr,2026-04-30T10:42:00,,PERFORMANCE_ANALYSIS,MATCH_RELATED,0.9,,,True,한 투수가 생후 2개월 딸을 위해 QS를 기록하며 감동을 주었다.,,positive,,False,"롯데 vs 키움 (홈) 5-6 패 | 결승타: 오선진(11회) | 홈런: 안치홍2호, 임병욱1호, 박승욱1호 | 타자 키플레이어: 박승욱(롯데), 장두성(롯데), 레이예스(롯데) | 투수 키플레이어: 박진형(키움), 정철원(롯데), 유토(키움)"
